idPk;cost;warranty;inStock;timeDelevery;warrantyImported;usefulLife;spareParts;primaryFunctionalities;secondlyFunctionalities;brand;model;height;width;deep;weight;Items_idPk
1;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte para movilidad diaria.";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";149
2;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte a la espalda";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";150
3;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte y estabilidad al usuario";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";151
4;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Permite la rehabilitación física";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";152
5;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte para movilidad diaria.";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";153
6;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Permite la rehabilitación física";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";154
7;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte para movilidad diaria.";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";155
8;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte a equipo medico";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";156
9;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte a equipo medico";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";157
10;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar ayuda a la hora de dormir.";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";158
11;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte y protección al pie.";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";159
12;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte al cuello en uso diario";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";160
13;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte a equipo medico";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";161
14;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte a equipo medico";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";162
15;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"mejora la circulación, evitando hinchazones y contribuyendo a una relajación y comodidad óptimas.";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";163
16;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Reducir el movimiento de la muñeca y dedo";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";164
17;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"evita hinchazones y contribuyendo a una relajación";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";165
18;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte al uso diario de la descarga de residuos";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";166
19;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte para movilidad diaria.";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";167
20;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"mejora la circulación, evitando hinchazones y contribuyendo a una relajación y comodidad óptimas.";{};" No se especifica";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";168
21;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte y estabilidad al usuario";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";169
22;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte al uso diario del inodoro";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";170
23;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Permite la rehabilitación física";{};" Kinesiotape";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";171
24;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"DAR SOPORTE AL PACIENTE DURANTE BAÑO.";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";172
25;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte a equipo medico";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";173
26;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Reducir el movimiento del brazo o para estabilizar la clavícula.";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";174
27;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte a equipo medico";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";175
28;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte para movilidad diaria.";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";176
29;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte a equipo medico";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";177
30;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte y protección al pie.";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";178
31;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Permite la rehabilitación física";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";179
32;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte a equipo medico";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";180
33;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Dar soporte a equipo medico";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";181
34;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"limita parcialmente los movimientos de la muñeca";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";182
35;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Permite la rehabilitación física";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";183
36;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Permite la rehabilitación física";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";184
37;"No se especifica.";"No brinda información";1;"No aplica.";0;"No";{};"Para traslado de pacientes con dificultad para caminar.";{};" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";185
