idPk;isPrivate;cost;objectives;reaches;specificSupports;typeSupports;daysToOperations;responsabilityPerson;cover;requirements;accesibility;others;scheduleExtraordinary;otherExtraordinaryAttention;attentionFrecuency;Items_idPk
1;0;"gratuito";"Mejorar la calidad de vida de la persona con discapacidad y sus familias";"Mejorar las habilidades del usuario con discapacidad para que mejore su calidad de vida";"Programa para mejorar las habilidades de las personas con discapacidad del cantón.";"Grupales";{};"Ocupación: Trabajadora social. Formación académica: Psicóloga y Educadora Experiencia: Más de 3 años Otras destrezas:";"Carrillo y alrededores";"Tener discapacidad leve o cognitiva, ser del cantón de Carrillo, se debe llamar para pedir una cita con la trabajadora social para luego poder empezar el curso.";"A nivel de infraestructura la municipalidad no posee estructura con acceso para personas con discapacidad, sin embargo, la nueva Vice Alcaldesa está en reuniones con la Vicepresidencia de la República para buscar fondos y programas que ayuden a consolidar el trabajo en pro de mejoras y cumpimiento de la ley 7600.";"No brinda información.";0;"-";"- Semanal";1
2;1;"No brinda información.";"Brindar el servicio de terapia de lenguaje a niños que necesiten de este para mejorar su calidad de vida.";"Mejorar la calidad de vida del niño que tiene problemas de lenguaje y habla, para que pueda desempeñarse mejor.";"Psicología";"Individuales";{};"Ocupación: Educación Especial preescolar Formación académica: Licenciados Experiencia: más de 5 años Otras destrezas:";"Guanacaste";"Matricularse en el centro.";"Si es accesible";"Información tomada de red social y página web.";0;"-";"-Diario";2
3;1;"No brinda información.";"Brindar el servicio de terapia de lenguaje a niños que necesiten de este para mejorar su calidad de vida.";"Mejorar la calidad de vida del niño que tiene problemas de lenguaje y habla, para que pueda desempeñarse mejor.";"Terapia de Lenguaje";"Individuales";{};"Ocupación: Educación Especial preescolar Formación académica: Licenciados Experiencia: más de 5 años Otras destrezas:";"Guanacaste";"Matricularse en el centro.";"Si es accesible";"No brinda información.";0;"-";"-Diario";3
4;1;"Gratis.";"Poder ayudar a todas las personas con discapacidad y sus familias en la península de Nicoya y Santa Teresa, Guanacaste.";"Mejorar la condiciones económicas y físicas de las personas con discapacidad de la Península de Nicoya.";"No brinda información.";"No brinda información.";{};"Ocupación: Presidente de la asociación, madre de una persona con trastorno mental. Formación académica: Técnica manicurista. Experiencia: Más de 9 años de ser madre y tener experiencia. Otras destrezas:";"Puntarenas";"Familia de la persona con discapacidad, mayor de edad, tener transporte propio y colaborar con una cuota a la asoc.";"No poseen las condiciones, ya que no poseen local, se reúnen y atienden en casa de unas de las miembros.";"Según lo expresado, no poseen recursos, y en la Península de Nicoya hay muchos niños con discapacidad. Están ubicados en Paquera, Puntarenas sin embargo, debido a su ubicación geográfica, representan toda la Península de Nicoya. No poseen logo.";1;"-";"-";4
5;1;"Gratis";"Permitir la independencia a las personas con discapacidad.";"Ayudar a la población de Guanacaste a solicitar ayuda o bien lograr sus objetivos para permitir su independencia.";"Asesoría sobre trámites y leyes en Costa Rica.";"Individuales";{};"Ocupación: Administradora de empresas. Formación académica: Lic. administrador de empresas, Experiencia: 5 años de experiencia. Otras destrezas: 2 años con la asociación.";"Guanacaste.";"Persona con discapacidad o familia que deseen ayuda o asesoría sobre procedimiento estatales para pedir ayudas económicos u otras.";"Se atienden consultas principalmente por teléfono.";"Según lo expresado por la persona entrevistada, están trabajando en losFines:, misión, visión.";1;"-";"-";5
6;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en ortopedia.";"Brindar servicios de ortopedia a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en ortopedia.";"ortopedia en consulta externa o si están internados en el hospital.";"Individuales";{};"Ocupación: Médicos Ortopedistas Formación académica: Licenciados y doctores Experiencia: más de 10 años Otras destrezas:";"Guanacaste";"Ser de Guanacaste, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";6
7;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en fisioterapia.";"Brindar servicios de fisioterapia por medio de consulta externa a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en fisioterapia.";"Fisioterapia";"Individuales";{};"Ocupación: Fiosterapeutas Formación académica: Licenciados Experiencia: más de 10 años Otras destrezas:";"Guanacaste";"Ser de Guanacaste, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";7
8;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en psiquiatría.";"Brindar servicios de psiquiatría a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en psiquiatría.";"Psiquiatra en consulta externa o si están internados en el hospital.";"Individuales";{};"Ocupación: Psiquiatras Formación académica: Licenciados y doctores Experiencia: más de 10 años Otras destrezas:";"Guanacaste";"Ser de Guanacaste, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";8
9;1;"Gratis";"Brindar terapia física gratuita a persona en situación de pobreza.";"Mejorar la calidad de vida a través de la terapia física.";"Terapia y rehabilitación física.";"Individuales";{};"Ocupación: Médica Especialista en Rehabilitación Física en la Fundación Formación académica: Lic. Médica Especialista en Rehabilitación Física en la Fundación Experiencia: Más de 25 años de practicar la medicina. Otras destrezas: No hay.";"Guanacaste.";"Persona con discapacidad motora, con énfasis a personas en situación de pobreza.";"Las consultas y sesiones de terapia se dan dentro del hospital, el lugar cuenta con las condiciones.";"Según lo expresado por la persona entrevistada, la Fundación necesita de un espacio físico apto para poder brindar una mejor atención, aSi como personal capacitado en el tema de discapacidad.";0;"-";"- Semanal";9
10;1;"Desde ¢10 mil colones al mes, depende de la condición económica de la persona.";"Permitir la independencia mejorar su capacidad motora.";"Mejorar calidad de vida.";"Alquiler de sillas de ruedas.";"Individuales";{};"Ocupación: Presidenta de la asoc. Formación académica: Bachiller de educación media Experiencia: 20 años de experiencia, la presidente es persona con discapacidad motora. Otras destrezas: Cursos aprobados de Comprensión y autoestima";"Hojancha";"Toda persona de Hojancha con discapacidad motriz. Se da prioridad a las personas en situación de pobreza, se hace un pequeño estudio e investigación para ver si la persona está en realidad en ese estado.";"El lugar de reunión Si reúne las condiciones.";"No brinda información.";0;"-";"-";10
11;1;"Cuota voluntaria para mantenimiento de la asociación";"Permitir la independencia mejorar su capacidad motora e intelectual en desarrollo de actividades manuales.";"Mejorar calidad de vida.";"Terapia física.";"Grupales";{};"Ocupación: Presidenta de la asoc. Formación académica: Bachiller de educación media Experiencia: 20 años de experiencia, la presidente es persona con discapacidad motora. Otras destrezas: Cursos aprobados de Comprensión y autoestima";"Hojancha";"Toda persona de Hojancha con discapacidad motora e intelectual.";"El lugar de reunión Si reúne las condiciones.";"No brinda información.";0;"-";"-";11
