idPk;code;name;description;observations;image1;image2;image3;visibility;isProduct;onDateUpdated;onDateCreated;daysToOperations;typeDeficiency;age;sex;isForPregnant;isApproved;isChecked;isDeleted;organizationsIdFk
1;"No brinda información";"Serv. Educativo: La biblioteca posee un programa, con cursos mejoramiento de motora fina, junto con la Trabajadora Social que busca mejorar la calidad de vida de la familia.";"Brindar mejoras al Cantón tanto en nivel de vida como nivel estructural. Ser un Gobierno Local ejemplar, integrado por funcionarios comprometidos con sus funciones para la prestación de servicios de calidad y eficiencia a la comunidad que permitan el fomento de oportunidades y crecimiento humano.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Discapacidad cognitiva y leve";{"'age'": "'Desde los 12 años.'"};2;1;1;1;0;21
2;"No brinda información";"Psicología";"-";"Información tomada de red social y página web.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Cognitiva Leve";{"'age'": "'de de 0 a 10 años'"};2;1;1;1;0;22
3;"No brinda información";"Terapia de Lenguaje";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Cognitiva Leve";{"'age'": "'de de 0 a 10 años'"};2;1;1;1;0;22
4;"No brinda información";"Asesoría Emocional";"Asesorar y ayudar a todas las personas con discapacidad y sus familias en la península de Nicoya y Santa Teresa, Guanacaste";"Según lo expresado, no poseen recursos, y en la Península de Nicoya hay muchos niños con discapacidad. Están ubicados en Paquera, Puntarenas sin embargo, debido a su ubicación geográfica, representan toda la Península de Nicoya. No poseen logo.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Física o mental";{"'age'": "'Mayor de edad.'"};2;1;1;1;0;23
5;"No brinda información";"Asesoría técnica sobre petición de ayudas o procedimientos estatales.";"Activar a las personas con discapacidad de la Provincia de Guanacaste y permitir que posean autonomía e independencia.";"Según lo expresado por la persona entrevistada, están trabajando en losFines:, misión, visión.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Cualquiera.";{"'age'": "'Mayor edad.'"};2;1;1;1;0;24
6;"No brinda información";"Ortopédia.";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Cualquiera";{"'age'": "'de Cualquier edad'"};2;1;1;1;0;25
7;"No brinda información";"Fisioterapia";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Cualquiera";{"'age'": "'de Cualquier edad'"};2;1;1;1;0;25
8;"No brinda información";"Psiquiatría";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Cualquiera";{"'age'": "'de Cualquier edad'"};2;1;1;1;0;25
9;"No brinda información";"Terapia Física";"No brinda información.";"Según lo expresado por la persona entrevistada, la Fundación necesita de un espacio físico apto para poder brindar una mejor atención, aSi como personal capacitado en el tema de discapacidad.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Discap. Motora.";{"'age'": "'Desde los 5 años en adelante'"};2;1;1;1;0;26
10;"No brinda información";"Alquiler sillas de ruedas.";"Trabajar por la población con discapacidad, de toda la Península de Nicoya.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Motriz.";{"'age'": "'Desde los 7 años de edad.'"};2;1;1;1;0;27
