idPk;cost;warranty;inStock;timeDelevery;warrantyImported;usefulLife;spareParts;primaryFunctionalities;secondlyFunctionalities;brand;model;height;width;deep;weight;Items_idPk
1;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte para movilidad diaria.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";149
2;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a la espalda";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";150
3;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte y estabilidad al usuario";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";151
4;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la rehabilitación física";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";152
5;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte para movilidad diaria.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";153
6;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la rehabilitación física";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";154
7;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte para movilidad diaria.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";155
8;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";156
9;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";157
10;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar ayuda a la hora de dormir.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";158
