idPk;code;name;description;observations;image1;image2;image3;visibility;isProduct;onDateUpdated;onDateCreated;daysToOperations;typeDeficiency;age;sex;isForPregnant;isApproved;isChecked;organizationsIdFk;isDeleted
1;"No brinda información";"Serv. Educativo: La biblioteca posee un programa, con cursos mejoramiento de motora fina, junto con la Trabajadora Social que busca mejorar la calidad de vida de la familia.";"Brindar mejoras al Cantón tanto en nivel de vida como nivel estructural. Ser un Gobierno Local ejemplar, integrado por funcionarios comprometidos con sus funciones para la prestación de servicios de calidad y eficiencia a la comunidad que permitan el fomento de oportunidades y crecimiento humano.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Discapacidad cognitiva y leve ";{};2;1;1;1;25;0
2;"No brinda información";"Psicología";"-";"Información tomada de red social y página web.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Cognitiva Leve ";{};2;1;1;1;26;0
3;"No brinda información";"Terapia de Lenguaje";"-";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Cognitiva Leve ";{};2;1;1;1;26;0
4;"No brinda información";"Asesoría Emocional";"Asesorar y ayudar a todas las personas con discapacidad y sus familias en la península de Nicoya y Santa Teresa, Guanacaste";"Según lo expresado, no poseen recursos, y en la Península de Nicoya hay muchos niños con discapacidad. Están ubicados en Paquera, Puntarenas sin embargo, debido a su ubicación geográfica, representan toda la Península de Nicoya. No poseen logo.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Física o mental ";{};2;1;1;1;27;0
5;"No brinda información";"Asesoría técnica sobre petición de ayudas o procedimientos estatales.";"Activar a las personas con discapacidad de la Provincia de Guanacaste y permitir que posean autonomía e independencia.";"Según lo expresado por la persona entrevistada, están trabajando en losFines:, misión, visión.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Cualquiera. ";{};2;1;1;1;28;0
6;"No brinda información";"Ortopédia.";"-";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Cualquiera ";{};2;1;1;1;29;0
7;"No brinda información";"Fisioterapia";"-";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Cualquiera ";{};2;1;1;1;29;0
8;"No brinda información";"Psiquiatría";"-";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Cualquiera ";{};2;1;1;1;29;0
9;"No brinda información";"Terapia Física";"";"Según lo expresado por la persona entrevistada, la Fundación necesita de un espacio físico apto para poder brindar una mejor atención, aSi como personal capacitado en el tema de discapacidad.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Discap. Motora. ";{};2;1;1;1;30;0
10;"No brinda información";"Alquiler sillas de ruedas.";"Trabajar por la población con discapacidad, de toda la Península de Nicoya.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Motriz. ";{};2;1;1;1;31;0
11;"No brinda información";"Terapia Ocupacional";"Trabajar por la población con discapacidad, de toda la Península de Nicoya.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Motora. ";{};2;1;1;1;31;0
12;"No brinda información";"Audiometrías";"-";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Cualquiera ";{};2;1;1;1;33;0
